time_ms, V1_rpm, V2_rpm, V3_rpm, V4_rpm
59, 0.0, 0.0, 0.0, 0.0
90, 58.97436, 79.48718, 41.025644, 30.769232
126, 130.76922, 143.58975, 112.82052, 76.92308
163, 189.7436, 194.871816, 182.05128, 164.10257
203, 228.20514, 230.76924, 225.64104, 217.948732
243, 248.71796, 251.28206, 246.15386, 246.15386
283, 246.15386, 246.15386, 238.461552, 243.58976
324, 233.33336, 233.33336, 225.64104, 228.20514
364, 225.64104, 225.64104, 215.384624, 225.64104
406, 246.15386, 246.15386, 241.025652, 248.71796
491, 235.89744, 230.76924, 220.51282, 233.33336
575, 220.51282, 212.82054, 202.56412, 217.948732
663, 269.23076, 266.6667, 261.53844, 271.79486
743, 253.84618, 246.15386, 241.025652, 251.28206
832, 220.51282, 212.82054, 202.56412, 223.076944
915, 266.6667, 264.10256, 258.97436, 269.23076
992, 251.28206, 243.58976, 238.461552, 253.84618
1075, 223.076944, 215.384624, 207.69232, 225.64104
1158, 266.6667, 266.6667, 264.10256, 271.79486
1239, 251.28206, 243.58976, 235.89744, 251.28206
1320, 220.51282, 212.82054, 205.12822, 225.64104
1404, 266.6667, 264.10256, 261.53844, 269.23076
1488, 253.84618, 246.15386, 241.025652, 251.28206
1577, 217.948732, 207.69232, 205.12822, 223.076944
1710, 294.87184, 287.1795, 284.61542, 289.7436
1789, 269.23076, 258.97436, 256.41028, 269.23076
1870, 238.461552, 228.20514, 223.076944, 241.025652
1968, 217.948732, 205.12822, 194.871816, 217.948732
2059, 266.6667, 266.6667, 266.6667, 271.79486
2149, 246.15386, 238.461552, 233.33336, 251.28206
2240, 220.51282, 212.82054, 202.56412, 223.076944
2322, 269.23076, 264.10256, 261.53844, 269.23076
2412, 243.58976, 238.461552, 233.33336, 248.71796
2493, 223.076944, 215.384624, 205.12822, 225.64104
2579, 271.79486, 269.23076, 266.6667, 271.79486
2671, 248.71796, 241.025652, 235.89744, 251.28206
2760, 217.948732, 212.82054, 202.56412, 223.076944
2854, 274.359, 271.79486, 266.6667, 274.359
2937, 258.97436, 251.28206, 243.58976, 251.28206
3019, 228.20514, 217.948732, 207.69232, 228.20514
3151, 269.23076, 266.6667, 261.53844, 269.23076
3231, 246.15386, 241.025652, 233.33336, 248.71796
3323, 220.51282, 212.82054, 202.56412, 220.51282
3413, 269.23076, 269.23076, 261.53844, 274.359
3500, 251.28206, 243.58976, 238.461552, 251.28206
3590, 217.948732, 210.256416, 200.0, 223.076944
3679, 271.79486, 269.23076, 264.10256, 274.359
3765, 251.28206, 243.58976, 238.461552, 253.84618
3851, 220.51282, 215.384624, 205.12822, 223.076944
3942, 271.79486, 269.23076, 264.10256, 274.359
4033, 251.28206, 243.58976, 235.89744, 251.28206
4122, 217.948732, 212.82054, 202.56412, 223.076944
4214, 271.79486, 269.23076, 261.53844, 274.359
4309, 246.15386, 243.58976, 233.33336, 251.28206
4402, 220.51282, 212.82054, 202.56412, 223.076944
4493, 274.359, 269.23076, 264.10256, 274.359
4629, 238.461552, 228.20514, 217.948732, 235.89744
4720, 212.82054, 205.12822, 192.307716, 215.384624
4820, 276.9231, 271.79486, 266.6667, 276.9231
4909, 251.28206, 246.15386, 235.89744, 251.28206
5004, 220.51282, 212.82054, 200.0, 223.076944
